index,rank,Protocol,Domain,Primary,Path,Num_Paths,Num_Symbol
611675,4.84,0,3,5,23,2,5
606334,2.75,0,3,19,25,1,3
618529,4.76,0,3,12,13,3,5
631179,5.13,0,3,12,16,3,5
645223,4.67,0,3,4,21,2,6
628362,2.59,0,3,4,50,5,8
650231,5.55,0,3,8,40,4,6
608430,4.11,0,3,12,20,1,4
635177,5.92,0,3,13,23,2,4
606524,1.2,0,5,6,7,1,4
629152,6.97,0,5,6,28,5,8
625533,4.52,0,15,10,6,2,5
637215,4.08,0,6,2,25,1,7
609879,3.57,0,3,10,15,1,5
617768,5.49,0,17,8,15,1,4
640820,4.61,0,16,4,11,1,4
644947,3.52,0,5,9,26,3,7
632064,4.67,0,3,10,18,3,4
631211,4.77,0,6,5,28,3,8
613811,2.99,0,15,5,15,3,5
603397,3.56,0,3,8,15,2,5
604608,7.25,0,3,7,13,1,3
642850,3.74,0,3,6,8,2,3
642362,4.56,0,3,6,12,2,4
637833,4.67,0,3,10,28,2,7
642252,3.29,0,3,20,24,4,6
631548,4.66,0,3,8,16,1,4
605114,2.03,0,3,15,22,2,5
607338,4.27,0,16,6,50,5,8
631002,4.77,0,3,5,24,2,4
635594,2.73,0,3,5,22,2,5
635483,0.0,0,3,8,9,1,4
629890,5.21,0,2,3,35,6,8
610455,3.21,0,3,12,4,1,2
626871,4.53,0,3,13,14,1,4
609696,2.3,0,3,9,27,1,5
603814,0.0,0,3,11,14,1,5
650930,5.55,0,3,8,40,4,6
633790,3.0,0,5,15,15,1,5
609391,4.5,0,2,3,47,3,7
638930,4.74,0,4,6,12,2,3
639783,2.97,0,3,16,17,1,5
625989,5.71,0,10,4,12,1,4
635112,8.63,0,13,2,12,2,4
604248,5.33,0,3,6,27,2,5
627730,4.68,0,3,6,14,1,5
649294,0.0,0,10,10,5,2,4
628591,4.55,0,3,10,11,1,4
614845,2.75,0,17,8,9,3,6
631267,4.56,0,8,7,21,3,5
645610,4.41,0,3,10,12,3,5
631424,3.42,0,3,9,9,1,3
640499,2.39,0,7,8,26,2,7
611970,2.59,0,3,7,31,2,7
632996,4.95,0,3,4,24,3,6
641986,3.32,0,3,10,33,2,7
639883,5.77,0,3,3,95,4,15
624191,5.06,0,3,10,39,1,10
610479,5.06,0,16,7,20,3,6
625524,3.94,0,3,8,14,1,4
617527,4.93,0,10,9,26,2,6
647389,0.0,0,6,14,8,2,4
629038,4.73,0,6,6,38,4,8
629090,4.81,0,2,6,19,2,5
636588,3.09,0,8,7,10,1,4
611530,0.0,0,12,8,171,6,30
615641,5.38,0,3,10,39,2,10
641876,4.7,0,11,4,40,4,8
643135,4.3,0,3,10,12,2,4
604826,1.34,0,3,10,9,1,3
616330,6.3,0,2,5,33,3,8
627397,3.92,0,3,10,40,3,8
618159,5.09,0,2,3,32,3,8
609717,2.21,0,3,14,9,1,4
639211,4.49,0,3,7,23,3,5
647462,1.86,0,2,6,11,2,5
614756,5.49,0,3,6,25,3,6
608948,0.0,0,3,10,9,2,5
604045,0.0,0,2,21,14,1,6
638892,3.48,0,8,3,21,2,5
644628,0.0,0,10,4,21,2,6
620281,2.27,0,3,3,10,1,3
647858,0.0,0,10,14,28,1,8
612660,5.54,0,3,6,17,2,5
612934,4.18,0,3,11,9,1,4
641991,5.08,0,7,8,33,3,10
608504,3.05,0,3,15,35,1,10
605728,0.0,0,10,8,22,2,6
616320,4.35,0,3,15,34,3,7
627599,4.33,0,3,13,22,3,5
629269,4.61,0,2,4,13,1,4
646531,4.85,0,3,13,23,1,5
625830,6.89,0,13,7,36,4,8
606936,4.51,0,9,5,13,2,4
633111,5.92,0,3,7,47,3,7
607666,3.54,0,3,15,17,1,4
634565,4.33,0,9,7,10,1,7
617279,4.53,0,3,8,21,2,5
630339,4.53,0,2,7,26,2,4
646600,4.69,0,3,11,32,2,4
632403,2.87,0,6,3,12,1,4
620195,7.4,0,3,6,72,7,16
612227,5.61,0,7,5,56,5,9
637573,3.54,0,3,9,12,1,5
629787,3.11,0,3,18,19,2,5
646946,5.01,0,3,5,20,2,5
619532,4.75,0,3,6,30,4,8
633516,6.62,0,3,3,33,3,6
603850,2.41,0,3,12,19,1,4
632609,2.84,0,2,6,46,4,11
605190,0.0,0,3,7,28,2,5
642043,8.63,0,13,2,9,2,4
606374,2.69,0,3,11,12,1,5
626937,2.05,0,3,11,61,2,11
619824,4.53,0,2,8,15,1,4
650048,2.72,0,7,10,19,2,5
607301,2.5,0,3,7,29,1,6
624248,4.78,0,3,7,26,3,5
632070,2.98,0,3,9,16,3,5
624765,0.0,0,3,8,10,2,4
617897,3.66,0,2,4,20,2,5
641487,4.53,0,3,9,8,1,3
614173,4.94,0,16,5,10,1,6
627631,5.19,0,3,9,39,3,8
632295,4.57,0,3,13,13,1,4
615742,5.16,0,3,8,15,2,4
638242,5.03,0,3,10,14,3,4
643667,2.28,0,3,4,8,2,3
607236,4.62,0,14,4,15,2,5
616398,4.53,0,15,6,11,1,4
614673,4.54,0,10,5,17,3,6
627077,4.65,0,3,14,12,2,4
615867,4.21,0,3,7,44,4,9
617178,4.64,0,3,12,18,3,4
610964,5.51,0,3,2,65,5,11
604106,5.67,0,11,4,17,2,6
647691,4.54,0,3,3,10,2,3
634936,2.72,0,3,10,15,2,4
611384,2.48,0,12,7,15,1,4
608576,4.23,0,3,14,23,1,6
639842,4.74,0,9,10,7,1,5
635308,4.61,0,11,6,23,2,6
611455,0.55,0,3,10,25,3,6
633432,4.98,0,14,3,17,1,5
605242,3.25,0,9,4,5,1,4
639116,3.49,0,3,11,22,1,5
644166,5.18,0,3,6,30,3,8
629396,5.22,0,5,3,42,3,7
605024,4.98,0,6,5,25,2,8
608106,5.33,0,3,5,38,3,7
628109,4.91,0,3,10,13,3,6
632274,3.68,0,3,10,35,2,7
609378,2.94,0,11,11,23,2,7
632890,4.1,0,3,7,27,2,5
614330,10.0,0,3,6,14,2,4
