index,rank,Protocol,Domain,Primary,Path,Num_Paths,Num_Symbol
456512,4.53,0,3,15,12,1,4
221408,3.4,0,3,12,19,2,5
497652,1.61,0,3,9,8,2,4
199520,4.92,0,3,5,19,2,5
491312,4.74,0,3,12,13,2,3
478310,4.54,0,3,6,14,1,4
84962,4.55,0,3,6,17,3,5
212384,4.69,0,3,6,14,2,7
268137,3.84,0,3,16,12,1,5
389219,3.8,0,3,11,11,1,4
574559,2.65,0,6,6,19,3,7
461133,2.26,0,3,5,8,1,3
449244,4.2,0,3,15,15,2,5
342345,7.56,0,11,4,9,2,5
407923,2.53,0,3,10,14,2,4
241553,4.1,0,3,12,13,1,5
268180,2.47,0,10,8,9,2,4
315679,4.55,0,3,6,41,4,8
563381,3.3,0,3,13,22,3,5
131673,5.1,0,3,4,26,3,5
479958,5.72,0,13,4,24,2,7
245356,4.85,0,7,7,23,3,6
462949,6.2,0,3,7,33,4,7
258710,4.92,0,6,13,12,2,6
345051,4.99,0,3,5,14,3,5
586938,0.0,0,3,8,0,0,3
9788,2.93,0,3,8,15,3,5
448231,4.71,0,3,8,10,1,3
110286,2.48,0,3,15,12,1,5
41779,3.46,0,3,12,15,2,4
459557,0.0,1,2,3,142,9,23
572651,0.0,0,3,8,29,4,6
307456,2.53,0,3,12,8,2,4
421000,3.72,0,2,6,30,4,6
572263,3.0,0,3,10,11,1,4
357202,5.08,0,9,3,20,3,7
502605,4.6,0,3,9,17,2,4
350634,3.51,0,18,5,35,4,9
494043,2.93,0,2,5,19,2,8
462262,4.9,0,12,7,12,2,5
293743,4.8,0,14,2,26,5,9
149555,4.81,0,15,2,10,3,5
562440,1.91,0,3,8,16,2,5
345275,3.27,0,3,10,26,2,5
276543,4.71,0,3,12,20,3,5
174025,4.53,0,3,18,19,2,4
572760,2.91,0,3,7,34,4,7
38052,5.51,0,3,6,23,2,7
73364,4.75,0,6,3,22,2,6
478439,4.43,0,3,3,8,1,4
559409,0.0,0,5,9,0,0,2
403794,4.76,0,3,6,25,4,7
602533,0.0,0,14,16,0,0,2
555321,2.55,0,3,7,4,2,5
287243,5.45,0,3,10,18,2,6
339039,5.01,0,3,3,31,3,7
278444,5.63,0,3,8,21,2,4
152446,5.22,0,7,6,42,5,10
487229,4.32,0,3,13,11,2,4
451197,2.16,0,3,7,13,1,4
601764,1.42,0,3,9,14,1,4
45675,5.45,0,13,4,19,3,5
244524,5.74,0,3,9,14,3,6
116190,5.01,0,6,6,9,1,4
375797,3.69,0,3,5,29,3,6
283004,3.98,0,3,8,28,3,6
342832,5.74,0,3,9,20,3,5
141826,4.55,0,10,9,16,2,7
